Checked,File ID,RT [min],First Scan,Mass Analyzer,Activation Type,MS Order,# PSMs,Best PSM Ambiguity,Isolation Interference [%],Ion Inject Time [ms],Precursor m/z [Da],Precursor MH+ [Da],Precursor Charge,Spectrum File
FALSE,F113,16.2485,2554,Fourier Transform,NCE 24±3 %,MS2,0,None,35.39246,150,1023.51575,3068.53269,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,16.2529,2555,Fourier Transform,NCE 27±3 %,MS2,0,None,35.39246,150,1023.51575,3068.53269,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,16.256,2556,Fourier Transform,NCE 27±6 %,MS2,0,None,35.39246,150,1023.51575,3068.53269,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,18.8743,2973,Fourier Transform,NCE 24±3 %,MS2,0,None,47.31508,150,554.27209,2214.06655,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,18.8787,2974,Fourier Transform,NCE 27±3 %,MS2,0,None,47.31508,150,554.27209,2214.06655,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,18.8818,2975,Fourier Transform,NCE 27±6 %,MS2,0,None,47.31508,150,554.27209,2214.06655,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,24.197,3813,Fourier Transform,NCE 24±3 %,MS2,0,None,18.28067,150,478.50125,1910.98317,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,24.2014,3814,Fourier Transform,NCE 27±3 %,MS2,0,None,18.28067,150,478.50125,1910.98317,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,24.2045,3815,Fourier Transform,NCE 27±6 %,MS2,0,None,18.28067,150,478.50125,1910.98317,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,24.7195,3898,Fourier Transform,NCE 24±3 %,MS2,0,None,4.771281,150,478.5014,1910.98379,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,24.7239,3899,Fourier Transform,NCE 27±3 %,MS2,0,None,4.771281,150,478.5014,1910.98379,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,24.727,3900,Fourier Transform,NCE 27±6 %,MS2,0,None,4.771281,150,478.5014,1910.98379,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,25.8688,4083,Fourier Transform,NCE 24±3 %,MS2,0,None,8.447544,150,478.50101,1910.9822,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,25.8732,4084,Fourier Transform,NCE 27±3 %,MS2,0,None,8.447544,150,478.50101,1910.9822,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,25.8764,4085,Fourier Transform,NCE 27±6 %,MS2,0,None,8.447544,150,478.50101,1910.9822,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,29.2755,4624,Fourier Transform,NCE 24±3 %,MS2,0,None,15.6585,150,721.87494,2884.47793,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,29.2799,4625,Fourier Transform,NCE 27±3 %,MS2,0,None,15.6585,150,721.87494,2884.47793,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,29.283,4626,Fourier Transform,NCE 27±6 %,MS2,0,None,15.6585,150,721.87494,2884.47793,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,31.0398,4901,Fourier Transform,NCE 24±3 %,MS2,0,None,19.95061,150,597.30316,1789.89493,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,31.0442,4902,Fourier Transform,NCE 27±3 %,MS2,0,None,19.95061,150,597.30316,1789.89493,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,31.0473,4903,Fourier Transform,NCE 27±6 %,MS2,0,None,19.95061,150,597.30316,1789.89493,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,31.4693,4970,Fourier Transform,NCE 24±3 %,MS2,0,None,37.11888,150,599.98157,1797.93015,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,31.4737,4971,Fourier Transform,NCE 27±3 %,MS2,0,None,37.11888,150,599.98157,1797.93015,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,31.4768,4972,Fourier Transform,NCE 27±6 %,MS2,0,None,37.11888,150,599.98157,1797.93015,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,31.608,4994,Fourier Transform,NCE 24±3 %,MS2,0,None,20.80065,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,31.6125,4995,Fourier Transform,NCE 27±3 %,MS2,0,None,20.80065,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,31.6155,4996,Fourier Transform,NCE 27±6 %,MS2,0,None,20.80065,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,33.7128,5330,Fourier Transform,NCE 24±3 %,MS2,0,None,7.584573,150,607.63422,1820.8881,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,33.7173,5331,Fourier Transform,NCE 27±3 %,MS2,0,None,7.584573,150,607.63422,1820.8881,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,33.7204,5332,Fourier Transform,NCE 27±6 %,MS2,0,None,7.584573,150,607.63422,1820.8881,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,34.1221,5397,Fourier Transform,NCE 24±3 %,MS2,0,None,52.19074,150,597.30322,1789.89511,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,34.1265,5398,Fourier Transform,NCE 27±3 %,MS2,0,None,52.19074,150,597.30322,1789.89511,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,34.1296,5399,Fourier Transform,NCE 27±6 %,MS2,0,None,52.19074,150,597.30322,1789.89511,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,34.4133,5445,Fourier Transform,NCE 24±3 %,MS2,0,None,0,150,479.5025,1914.98818,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,34.4177,5446,Fourier Transform,NCE 27±3 %,MS2,0,None,0,150,479.5025,1914.98818,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,34.4208,5447,Fourier Transform,NCE 27±6 %,MS2,0,None,0,150,479.5025,1914.98818,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,36.5498,5786,Fourier Transform,NCE 24±3 %,MS2,0,None,21.35109,150,597.30334,1789.89548,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,36.5543,5787,Fourier Transform,NCE 27±3 %,MS2,0,None,21.35109,150,597.30334,1789.89548,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,36.5574,5788,Fourier Transform,NCE 27±6 %,MS2,0,None,21.35109,150,597.30334,1789.89548,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,36.8486,5835,Fourier Transform,NCE 24±3 %,MS2,0,None,55.82024,150,409.47806,1634.8904,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,36.853,5836,Fourier Transform,NCE 27±3 %,MS2,0,None,55.82024,150,409.47806,1634.8904,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,36.8561,5837,Fourier Transform,NCE 27±6 %,MS2,0,None,55.82024,150,409.47806,1634.8904,4,Lumos_RSLC3_stepped-HCD_comparison_1.raw
FALSE,F113,37.0816,5874,Fourier Transform,NCE 24±3 %,MS2,0,None,23.76773,150,822.42468,2465.25949,3,Lumos_RSLC3_stepped-HCD_comparison_1.raw
