Checked,File ID,RT [min],First Scan,Mass Analyzer,Activation Type,MS Order,# PSMs,Best PSM Ambiguity,Isolation Interference [%],Ion Inject Time [ms],Precursor m/z [Da],Precursor MH+ [Da],Precursor Charge,Spectrum File
FALSE,F115,19.4292,2993,Fourier Transform,NCE 27±6 %,MS2,0,None,12.33158,150,478.50107,1910.98244,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,19.4336,2994,Fourier Transform,NCE 24±3 %,MS2,0,None,12.33158,150,478.50107,1910.98244,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,19.4367,2995,Fourier Transform,NCE 27±3 %,MS2,0,None,12.33158,150,478.50107,1910.98244,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,19.9485,3076,Fourier Transform,NCE 27±6 %,MS2,0,None,0,150,478.50125,1910.98317,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,19.9529,3077,Fourier Transform,NCE 24±3 %,MS2,0,None,0,150,478.50125,1910.98317,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,19.956,3078,Fourier Transform,NCE 27±3 %,MS2,0,None,0,150,478.50125,1910.98317,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,20.7947,3210,Fourier Transform,NCE 27±6 %,MS2,0,None,6.235292,150,478.50076,1910.98122,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,20.7991,3211,Fourier Transform,NCE 24±3 %,MS2,0,None,6.235292,150,478.50076,1910.98122,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,20.8022,3212,Fourier Transform,NCE 27±3 %,MS2,0,None,6.235292,150,478.50076,1910.98122,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,24.6732,3811,Fourier Transform,NCE 27±6 %,MS2,0,None,5.955303,150,721.87402,2884.47426,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,24.6776,3812,Fourier Transform,NCE 24±3 %,MS2,0,None,5.955303,150,721.87402,2884.47426,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,24.6807,3813,Fourier Transform,NCE 27±3 %,MS2,0,None,5.955303,150,721.87402,2884.47426,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,25.8174,3991,Fourier Transform,NCE 27±6 %,MS2,0,None,0,150,599.98138,1797.9296,3,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,25.8218,3992,Fourier Transform,NCE 24±3 %,MS2,0,None,0,150,599.98138,1797.9296,3,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,25.8249,3993,Fourier Transform,NCE 27±3 %,MS2,0,None,0,150,599.98138,1797.9296,3,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,26.8526,4155,Fourier Transform,NCE 27±6 %,MS2,0,None,0,150,586.55249,2343.18813,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,26.857,4156,Fourier Transform,NCE 24±3 %,MS2,0,None,0,150,586.55249,2343.18813,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,26.8601,4157,Fourier Transform,NCE 27±3 %,MS2,0,None,0,150,586.55249,2343.18813,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,26.8776,4161,Fourier Transform,NCE 27±6 %,MS2,0,None,0,150,586.80334,2344.19155,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,26.882,4162,Fourier Transform,NCE 24±3 %,MS2,0,None,0,150,586.80334,2344.19155,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,26.8852,4163,Fourier Transform,NCE 27±3 %,MS2,0,None,0,150,586.80334,2344.19155,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,27.2056,4214,Fourier Transform,NCE 27±6 %,MS2,0,None,3.975633,150,599.98181,1797.93088,3,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,27.21,4215,Fourier Transform,NCE 24±3 %,MS2,0,None,3.975633,150,599.98181,1797.93088,3,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,27.2131,4216,Fourier Transform,NCE 27±3 %,MS2,0,None,3.975633,150,599.98181,1797.93088,3,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,28.5657,4429,Fourier Transform,NCE 27±6 %,MS2,0,None,0,150,607.63281,1820.88388,3,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,28.5701,4430,Fourier Transform,NCE 24±3 %,MS2,0,None,0,150,607.63281,1820.88388,3,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,28.5732,4431,Fourier Transform,NCE 27±3 %,MS2,0,None,0,150,607.63281,1820.88388,3,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,28.7696,4463,Fourier Transform,NCE 27±6 %,MS2,0,None,15.31716,150,479.50223,1914.98708,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,28.774,4464,Fourier Transform,NCE 24±3 %,MS2,0,None,15.31716,150,479.50223,1914.98708,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,28.7771,4465,Fourier Transform,NCE 27±3 %,MS2,0,None,15.31716,150,479.50223,1914.98708,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,29.9809,4656,Fourier Transform,NCE 27±6 %,MS2,0,None,0,150,617.80939,2468.21572,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,29.9854,4657,Fourier Transform,NCE 24±3 %,MS2,0,None,0,150,617.80939,2468.21572,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,29.9885,4658,Fourier Transform,NCE 27±3 %,MS2,0,None,0,150,617.80939,2468.21572,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,30.025,4665,Fourier Transform,NCE 27±6 %,MS2,0,None,0,150,617.55859,2467.21255,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,30.0294,4666,Fourier Transform,NCE 24±3 %,MS2,0,None,0,150,617.55859,2467.21255,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,30.0325,4667,Fourier Transform,NCE 27±3 %,MS2,0,None,0,150,617.55859,2467.21255,4,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,30.5493,4744,Fourier Transform,NCE 27±6 %,MS2,0,None,11.87412,150,597.3031,1789.89475,3,Lumos_RSLC3_stepped-HCD_comparison_3.raw
FALSE,F115,30.5538,4745,Fourier Transform,NCE 24±3 %,MS2,0,None,11.87412,150,597.3031,1789.89475,3,Lumos_RSLC3_stepped-HCD_comparison_3.raw
