Checked,File ID,RT [min],First Scan,Mass Analyzer,Activation Type,MS Order,# PSMs,Best PSM Ambiguity,Isolation Interference [%],Ion Inject Time [ms],Precursor m/z [Da],Precursor MH+ [Da],Precursor Charge,Spectrum File
FALSE,F114,31.3698,4861,Fourier Transform,NCE 27±3 %,MS2,0,None,6.133193,150,597.30347,1789.89585,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,31.3743,4862,Fourier Transform,NCE 27±6 %,MS2,0,None,6.133193,150,597.30347,1789.89585,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,31.3774,4863,Fourier Transform,NCE 24±3 %,MS2,0,None,6.133193,150,597.30347,1789.89585,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,31.9762,4957,Fourier Transform,NCE 27±3 %,MS2,0,None,35.89293,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,31.9807,4958,Fourier Transform,NCE 27±6 %,MS2,0,None,35.89293,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,31.9838,4959,Fourier Transform,NCE 24±3 %,MS2,0,None,35.89293,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,32.4919,5040,Fourier Transform,NCE 27±3 %,MS2,0,None,10.19497,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,32.4963,5041,Fourier Transform,NCE 27±6 %,MS2,0,None,10.19497,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,32.4994,5042,Fourier Transform,NCE 24±3 %,MS2,0,None,10.19497,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,33.303,5170,Fourier Transform,NCE 27±3 %,MS2,0,None,71.56631,150,597.30316,1789.89493,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,33.3074,5171,Fourier Transform,NCE 27±6 %,MS2,0,None,71.56631,150,597.30316,1789.89493,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,33.3105,5172,Fourier Transform,NCE 24±3 %,MS2,0,None,71.56631,150,597.30316,1789.89493,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,34.3084,5329,Fourier Transform,NCE 27±3 %,MS2,0,None,28.27998,150,508.65332,2539.2375,5,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,34.3128,5330,Fourier Transform,NCE 27±6 %,MS2,0,None,28.27998,150,508.65332,2539.2375,5,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,34.3159,5331,Fourier Transform,NCE 24±3 %,MS2,0,None,28.27998,150,508.65332,2539.2375,5,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,34.8291,5413,Fourier Transform,NCE 27±3 %,MS2,0,None,33.1653,150,597.3031,1789.89475,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,34.8335,5414,Fourier Transform,NCE 27±6 %,MS2,0,None,33.1653,150,597.3031,1789.89475,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,34.8366,5415,Fourier Transform,NCE 24±3 %,MS2,0,None,33.1653,150,597.3031,1789.89475,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,35.3798,5502,Fourier Transform,NCE 27±3 %,MS2,0,None,41.9564,150,737.87543,2948.47988,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,35.3842,5503,Fourier Transform,NCE 27±6 %,MS2,0,None,41.9564,150,737.87543,2948.47988,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,35.3873,5504,Fourier Transform,NCE 24±3 %,MS2,0,None,41.9564,150,737.87543,2948.47988,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,36.1646,5629,Fourier Transform,NCE 27±3 %,MS2,0,None,5.846938,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,36.169,5630,Fourier Transform,NCE 27±6 %,MS2,0,None,5.846938,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,36.1721,5631,Fourier Transform,NCE 24±3 %,MS2,0,None,5.846938,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,36.6355,5706,Fourier Transform,NCE 27±3 %,MS2,0,None,22.68966,150,455.24146,1817.94399,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
